"LAT","LONG"
67.864609,44.175777
67.840553,33.250999
67.835251,53.629333
67.833832,30.24036
67.820946,30.590889
67.796448,52.869141
67.688026,40.969307
67.676247,52.871166
67.665337,49.051693
67.651001,44.098888
67.649719,53.079082
67.626892,52.961361
67.625916,53.049194
67.612198,52.831612
67.585747,31.163221
67.574837,52.19622
67.573524,49.064919
67.550804,32.272556
67.547417,30.514862
67.463585,51.824001
67.43708,32.745888
67.425941,49.506832
67.407196,32.506195
67.401695,52.264946
67.384415,58.364944
67.36908,47.872166
67.336746,34.20261
67.299141,32.480141
67.206085,41.297695
67.199303,41.339195
67.196053,43.798473
67.190636,47.72789
67.149086,59.33847
67.13475,39.651722
67.116859,52.010777
67.108948,41.395363
67.087387,44.362026
67.056,41.057751
67.043114,59.439304
67.033554,51.144444
67.006058,41.275501
66.991219,52.338528
66.940109,55.738693
66.91436,44.527195
66.911331,52.329056
66.895058,47.621582
66.877502,59.657028
66.776947,33.74836
66.751663,47.76236
66.747528,47.008945
66.733612,32.833363
66.725861,40.979221
66.721191,32.634251
66.718277,52.311779
66.682281,56.070137
66.64547,56.401859
66.637726,46.493362
66.636475,45.877945
66.621635,59.391083
66.600891,47.936749
66.60025,44.685696
66.59642,59.290279
66.593224,45.219196
66.485641,44.408501
66.47583,59.669945
66.471916,35.347832
66.449776,52.356972
66.438499,59.039585
66.408501,56.435555
66.389053,36.577057
66.374748,42.554554
66.357918,52.50872
66.350281,36.008915
66.339386,44.456833
66.334084,55.872807
66.313721,41.956139
66.311447,45.802307
66.308113,43.295029
66.285614,36.847721
66.28389,56.436943
66.278503,33.555084
66.254585,58.392471
66.210808,46.731388
66.208641,55.420887
66.195419,56.597057
66.191139,39.532001
66.171753,52.478668
66.162415,56.569195
66.152336,34.191917
66.151085,55.17561
66.149887,31.69364
66.146225,41.623333
66.143448,44.132805
66.112419,37.776527
66.103638,39.133778
66.078392,52.551418
66.067581,33.027832
66.060333,38.245224
66.048248,43.473946
66.044136,44.183167
66.03714,44.027443
66.031219,41.234917
65.997444,58.054501
65.988419,52.529446
65.98436,56.916027
65.967834,57.366444
65.959915,40.732834
65.95047,55.13364
65.946693,52.466221
65.914253,34.661057
65.889893,31.826027
65.880669,43.46875
65.833916,56.744141
65.818558,43.552387
65.802086,54.84314
65.800446,33.921696
65.800003,59.318668
65.791664,46.155472
65.789024,45.05275
65.783195,40.451637
65.780136,43.373028
65.748001,30.354221
65.746361,52.24789
65.741692,59.518276
65.739471,52.052612
65.70858,46.504612
65.70475,54.696251
65.700058,47.519779
65.693665,40.381863
65.693275,52.152168
65.69239,40.215248
65.689636,43.564362
65.687416,42.871723
65.682251,56.669556
65.670776,47.665638
65.668861,54.530388
65.664474,44.416805
65.63736,59.063057
65.602669,44.522388
65.598808,42.52739
65.572197,44.711582
65.567337,44.622471
65.553001,58.637054
65.539612,43.681499
65.518753,44.910416
65.516472,32.405613
65.507835,52.168026
65.502724,44.788555
65.487831,57.041805
65.474419,39.747501
65.471581,51.565777
65.470085,43.214138
65.467941,31.247139
65.460724,51.383251
65.46003,53.860695
65.444138,52.165249
65.422302,58.200863
65.421722,53.580555
65.379364,52.378693
65.375168,41.830387
